2021-11-23 23:27:26 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-11-23 23:27:26 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-11-23 23:27:26 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-23 23:27:26 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2021-11-23 23:27:26 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-11-23 23:27:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-23 23:27:27 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-11-23 23:27:27 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-11-23 23:27:27 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-23 23:27:28 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-11-23 23:27:28 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-11-23 23:27:28 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-11-23 23:27:28 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-11-23 23:27:28 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Started NewOtpGenerateApplication in 3.798 seconds (JVM running for 4.516)
2021-11-23 23:27:33 [https-jsse-nio-8443-exec-4] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-23 23:28:14 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-11-23 23:28:14 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-11-23 23:28:18 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Starting NewOtpGenerateApplication using Java 15.0.2 on DESKTOP-T6L26UM with PID 41432 (C:\Users\DELL\Downloads\newOTPGenerate\newOTPGenerate\target\classes started by DELL in C:\Users\DELL\Downloads\newOTPGenerate\newOTPGenerate)
2021-11-23 23:28:18 [main] DEBUG com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Running with Spring Boot v2.5.6, Spring v5.3.12
2021-11-23 23:28:18 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - No active profile set, falling back to default profiles: default
2021-11-23 23:28:19 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-11-23 23:28:19 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-11-23 23:28:19 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-11-23 23:28:19 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-23 23:28:19 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2021-11-23 23:28:20 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-11-23 23:28:20 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-23 23:28:20 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-11-23 23:28:20 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-11-23 23:28:20 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-23 23:28:21 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-11-23 23:28:21 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-11-23 23:28:21 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-11-23 23:28:21 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-11-23 23:28:21 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Started NewOtpGenerateApplication in 3.43 seconds (JVM running for 4.157)
2021-11-23 23:28:25 [https-jsse-nio-8443-exec-3] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-23 23:30:13 [https-jsse-nio-8443-exec-9] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
